City,Variable,Scores,Lat,Long
New York,Crime Rate,0.321965167,40°42.51,74°0.21
New York,Number of Concert Venues,0.035220215,40°42.51,74°0.21
New York,number of breweries ,0.411531637,40°42.51,74°0.21
New York,median 1 BR rent,0.98615872,40°42.51,74°0.21
New York,AVG Temp (Jan),32.1,40°42.51,74°0.21
New York,AVG Temp (April),52.5,40°42.51,74°0.21
New York,AVG Temp (July),76.5,40°42.51,74°0.21
New York,AVG Temp (Oct),56.6,40°42.51,74°0.21
New York,Yearly AVG Temp,54.43,40°42.51,74°0.21
New York,average rainfall,0.818292567,40°42.51,74°0.21
New York,average snowfall,0.653523632,40°42.51,74°0.21
New York,Presence of Sports Teams,0.958222784,40°42.51,74°0.21
New York,Public Parks,0.838494389,40°42.51,74°0.21
New York,Total Population,0.999984652,40°42.51,74°0.21
New York,Age (25-34),0.999985801,40°42.51,74°0.21
New York,Population,0.388384763,40°42.51,74°0.21
New York,Bar Density per 100k,0.067508691,40°42.51,74°0.21
New York,Public Transportation,0.986044321,40°42.51,74°0.21
Philadelphia,Unemployment Rate,0.837290751,39°57.8,75°9.49
Philadelphia,Tax rate,0.283498721,39°57.8,75°9.49
Philadelphia,Crime Rate,0.812408028,39°57.8,75°9.49
Philadelphia,Number of Concert Venues,0.934165992,39°57.8,75°9.49
Philadelphia,number of breweries ,0.814453315,39°57.8,75°9.49
Philadelphia,median 1 BR rent,0.401124041,39°57.8,75°9.49
Philadelphia,AVG Temp (Jan),32.3,39°57.8,75°9.49
Philadelphia,AVG Temp (April),53.1,39°57.8,75°9.49
Philadelphia,AVG Temp (July),77.6,39°57.8,75°9.49
Philadelphia,AVG Temp (Oct),57.2,39°57.8,75°9.49
Philadelphia,Yearly AVG Temp,55.05,39°57.8,75°9.49
Philadelphia,average rainfall,0.624074158,39°57.8,75°9.49
Philadelphia,average snowfall,0.505684022,39°57.8,75°9.49
Philadelphia,Presence of Sports Teams,0.770362619,39°57.8,75°9.49
Philadelphia,Public Parks,0.47352251,39°57.8,75°9.49
Philadelphia,Total Population,0.557172767,39°57.8,75°9.49
Philadelphia,Age (25-34),0.549062386,39°57.8,75°9.49
Philadelphia,Population,0.577784261,39°57.8,75°9.49
Philadelphia,Bar Density per 100k,0.341776438,39°57.8,75°9.49
Philadelphia,Public Transportation,0.85723437,39°57.8,75°9.49
Pittsburgh,Unemployment Rate,0.636433835,40°26.26,79°59.45
Pittsburgh,Tax rate,0.283498721,40°26.26,79°59.45
Pittsburgh,Crime Rate,0.099144428,40°26.26,79°59.45
Pittsburgh,Number of Concert Venues,0.6184877,40°26.26,79°59.45
Pittsburgh,number of breweries ,0.036819135,40°26.26,79°59.45
Pittsburgh,median 1 BR rent,0.222511424,40°26.26,79°59.45
Pittsburgh,AVG Temp (Jan),27.5,40°26.26,79°59.45
Pittsburgh,AVG Temp (April),49.9,40°26.26,79°59.45
Pittsburgh,AVG Temp (July),72.6,40°26.26,79°59.45
Pittsburgh,AVG Temp (Oct),52.5,40°26.26,79°59.45
Pittsburgh,Yearly AVG Temp,50.63,40°26.26,79°59.45
Pittsburgh,average rainfall,0.496162477,40°26.26,79°59.45
Pittsburgh,average snowfall,0.870082225,40°26.26,79°59.45
Pittsburgh,Presence of Sports Teams,0.83866178,40°26.26,79°59.45
Pittsburgh,Public Parks,0.580973707,40°26.26,79°59.45
Pittsburgh,Total Population,0.278940061,40°26.26,79°59.45
Pittsburgh,Age (25-34),0.27628779,40°26.26,79°59.45
Pittsburgh,Population,0.995542373,40°26.26,79°59.45
Pittsburgh,Bar Density per 100k,0.706604787,40°26.26,79°59.45
Pittsburgh,Public Transportation,0.621795387,40°26.26,79°59.45
"Portland, OR",Unemployment Rate,0.51265315,45°31.24,122°40.34
"Portland, OR",Tax rate,0.858331389,45°31.24,122°40.34
"Portland, OR",Crime Rate,0.34048705,45°31.24,122°40.34
"Portland, OR",Number of Concert Venues,0.035220215,45°31.24,122°40.34
"Portland, OR",number of breweries ,0.131776239,45°31.24,122°40.34
"Portland, OR",median 1 BR rent,0.541123245,45°31.24,122°40.34
"Portland, OR",AVG Temp (Jan),39.9,45°31.24,122°40.34
"Portland, OR",AVG Temp (April),51.2,45°31.24,122°40.34
"Portland, OR",AVG Temp (July),68.1,45°31.24,122°40.34
"Portland, OR",AVG Temp (Oct),54.3,45°31.24,122°40.34
"Portland, OR",Yearly AVG Temp,53.38,45°31.24,122°40.34
"Portland, OR",average rainfall,0.472045704,45°31.24,122°40.34
"Portland, OR",average snowfall,0.247137941,45°31.24,122°40.34
"Portland, OR",Presence of Sports Teams,0.142117758,45°31.24,122°40.34
"Portland, OR",Public Parks,0.892088701,45°31.24,122°40.34
"Portland, OR",Total Population,0.351243129,45°31.24,122°40.34
"Portland, OR",Age (25-34),0.357534881,45°31.24,122°40.34
"Portland, OR",Population,0.940156378,45°31.24,122°40.34
"Portland, OR",Bar Density per 100k,0.658223562,45°31.24,122°40.34
"Portland, OR",Public Transportation,0.55047696,45°31.24,122°40.34
San Diego,Unemployment Rate,0.32848193,32°42.56,117°9.53
San Diego,Tax rate,0.970748187,32°42.56,117°9.53
San Diego,Crime Rate,0.056155341,32°42.56,117°9.53
San Diego,Number of Concert Venues,0.273246798,32°42.56,117°9.53
San Diego,number of breweries ,0.058762434,32°42.56,117°9.53
San Diego,median 1 BR rent,0.851163988,32°42.56,117°9.53
San Diego,AVG Temp (Jan),57.8,32°42.56,117°9.53
San Diego,AVG Temp (April),62.6,32°42.56,117°9.53
